clientIp, serverIp, query_id, initial_time, query_name, query_rtype, nb_repeats, last_repeat_time, nb_response, first_response_time, cname_count, cname, query_length, response_length, a_val, response_time, repeat_time
192.168.1.102,8.8.8.8,22770,219042476,i.ytimg.com,A,1,219042476,1,219112217,1,ytimg.l.google.com,71,292,172.56.146.38, 69741, 0
192.168.1.102,8.8.8.8,19891,1451263601,e3891.g.akamaiedge.net,AAAA,1,1451263601,1,1451332907,0,,82,143,, 69306, 0
192.168.1.102,8.8.8.8,56151,1492231716,ichef-1.bbci.co.uk,A,2,1492325100,2,1492371431,4,e11572.g.akamaiedge.net,78,223,23.48.157.139, 139715, 93384
192.168.1.102,8.8.8.8,30857,793286569,sp1.convertro.com,AAAA,1,793286569,1,793347064,0,,77,159,, 60495, 0
192.168.1.102,8.8.8.8,62371,1432071813,fig.bbc.co.uk,A,1,1432071813,1,1432159284,2,bbc.map.fastly.net,73,147,151.101.52.81, 87471, 0
192.168.1.102,8.8.8.8,217,116427749,computerworld.com,AAAA,1,116427749,1,116506515,0,,77,142,, 78766, 0
192.168.1.102,8.8.8.8,4040,1529518514,imgs.xkcd.com,A,2,1529612034,2,1529631352,1,dualstack.i.ssl.global.fastly.net,73,184,151.101.0.67, 112838, 93520
192.168.1.102,8.8.8.8,39926,218536189,gstaticadssl.l.google.com,A,1,218536189,1,218612997,0,,85,277,172.56.146.46, 76808, 0
192.168.1.102,8.8.8.8,43483,1579212165,fxn.ws,A,1,1579212165,1,1579270122,0,,66,98,67.199.248.13, 57957, 0
192.168.1.102,8.8.8.8,42449,1013606677,abcnews.gns.go.com,AAAA,2,1013699802,2,1013717961,0,,78,78,, 111284, 93125
192.168.1.102,8.8.8.8,48157,1042849594,a1641.dscb.akamai.net,A,2,1042942541,2,1042986590,0,,81,113,165.254.58.41, 136996, 92947
192.168.1.102,8.8.8.8,7310,1572670543,d3lnso1ag1sznl.cloudfront.net,A,2,1572763754,2,1572769606,0,,89,217,52.84.21.10, 99063, 93211
192.168.1.102,8.8.8.8,45746,1130308991,a756.f1.akamai.net,A,2,1130393650,2,1130435917,0,,78,110,165.254.26.154, 126926, 84659
192.168.1.102,8.8.8.8,46992,113493044,a1574.w3.akamai.net,A,1,113493044,1,113575461,0,,79,111,172.56.140.89, 82417, 0
192.168.1.102,8.8.8.8,46401,1578897591,a1152.w7.akamai.net,A,2,1578990125,2,1579015955,0,,79,111,165.254.26.178, 118364, 92534
192.168.1.102,8.8.8.8,6233,1580269602,a1082.w7.akamai.net,AAAA,1,1580269602,1,1580330075,0,,79,141,, 60473, 0
192.168.1.102,8.8.8.8,6078,1323962483,e5508.g.akamaiedge.net,AAAA,1,1323962483,1,1324047788,0,,82,143,, 85305, 0
192.168.1.102,8.8.8.8,253,21871774,f.global-ssl.fastly.net,A,1,21871774,1,21929522,0,,83,147,151.101.0.64, 57748, 0
192.168.1.102,8.8.8.8,48694,220145647,www.reuters.com,A,1,220145647,1,220265156,1,www.reutersmedia.net,75,237,52.84.21.195, 119509, 0
192.168.1.102,8.8.8.8,37208,37389142,nodecollectorext-1054271745.us-east-1.elb.amazonaws.com,AAAA,1,37389142,1,37467607,0,,115,197,, 78465, 0
192.168.1.102,8.8.8.8,53690,811590676,nodecollectorext-1054271745.us-east-1.elb.amazonaws.com,A,1,811590676,1,811656743,0,,115,163,52.204.126.112, 66067, 0
